index,bb_smiles
0,Br.Br.NCC1CCCN1c1cccnn1
1,Br.NCc1cccc(Br)n1
2,C#CCCC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
3,C#CCN(C)CCCN
4,C#CCOc1ccc(CN)cc1.Cl
5,C#CCOc1cccc(CN)c1.Cl
6,C#CC[C@@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21
7,C#CC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
8,C#CC[C@@](C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
9,C#CC[C@H](CC(=O)O)NC(=O)OCC1c2ccccc2-c2ccccc21
10,C#CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
11,C#Cc1ccc(N)cc1
12,C#Cc1cccc(N)c1
13,C/C(=C\B1OC(C)(C)C(C)(C)O1)c1ccnn1C
14,C=C(C)B1OC(C)(C)C(C)(C)O1
15,C=C(C)C(=O)NCCN.Cl
16,C=C(C)COCCN.Cl
17,C=C(Cl)CN.Cl
18,C=C1CCC(CN)CC1.Cl
19,C=CB1OC(C)(C)C(C)(C)O1
20,C=CCC(=O)O
21,C=CCC(CC=C)(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
22,C=CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
23,C=CCC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
24,C=CCNC(=O)CN.Cl
25,C=CCOC(C)CN
26,C=CCOCCCN
27,C=CCOCCN
28,C=CCSCCN
29,C=CC[C@@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
30,C=CC[C@H](NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
31,C=Cc1ccc(N)cc1
32,CB1OC(C)(C)C(C)(C)O1
33,CC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1
34,CC(=O)N1CCN(CC(=O)O)CC1
35,CC(=O)N[C@H]1CC[C@H](C(=O)O)CC1
36,CC(=O)Nc1cc(C(=O)O)ccn1
37,CC(=O)Nc1ccc(B2OC(C)(C)C(C)(C)O2)cc1C(F)(F)F
38,CC(=O)Nc1cccc(B(O)O)c1
39,CC(=O)Nc1cccc(C(=O)O)c1
40,CC(=O)Nc1cccc(N)n1
41,CC(=O)Nc1ccnc(C(=O)O)c1
42,CC(=O)SCCN.Cl
43,CC(=O)c1ccc(B(O)O)s1
44,CC(=O)c1ccc(C[C@H](NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
45,CC(=O)c1ccc(N)c(F)c1
46,CC(=O)c1cccc(B2OC(C)(C)C(C)(C)O2)c1
47,CC(=O)c1cccc(N)c1
48,CC(=O)c1ncc(C(=O)O)s1
49,CC(C)(C#N)c1cc(B2OC(C)(C)C(C)(C)O2)ccn1
50,CC(C)(C#N)c1ccc(N)cc1
51,CC(C)(C)C(=O)Nc1cc(C(=O)O)ccn1
52,CC(C)(C)C1=NOC(C(=O)O)C1
53,CC(C)(C)C1CC=C(B2OC(C)(C)C(C)(C)O2)CC1
54,CC(C)(C)C1CCC(C(=O)O)CC1
55,CC(C)(C)CC(=O)O
56,CC(C)(C)NC(=O)c1cccc(B(O)O)c1
57,CC(C)(C)NS(=O)(=O)c1ccc(B(O)O)cc1
58,CC(C)(C)NS(=O)(=O)c1cccc(N)c1
59,CC(C)(C)OC(=O)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
60,CC(C)(C)OC(=O)CCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
61,CC(C)(C)OC(=O)N1CC(c2ccccc2Br)=C[C@H]1C(=O)O
62,CC(C)(C)OC(=O)N1CCC(C(=O)O)(c2ccc(Br)cc2)CC1
63,CC(C)(C)OC(=O)N1CCC(C(=O)O)(c2cccc(Br)c2)CC1
64,CC(C)(C)OC(=O)N1CCC(COc2cc(I)ccc2C(=O)O)CC1
65,CC(C)(C)OC(=O)N1CCC(COc2ccc(C(=O)O)cc2I)CC1
66,CC(C)(C)OC(=O)N1CCC(Oc2cc(C(=O)O)ccc2I)CC1
67,CC(C)(C)OC(=O)N1CCC(n2cc(N)cn2)CC1
68,CC(C)(C)OC(=O)N1CCC[C@@H](c2cccc(I)c2)[C@@H]1C(=O)O
69,CC(C)(C)OC(=O)N1CCC[C@@H](n2cc(Br)cc2C(=O)O)C1
70,CC(C)(C)OC(=O)N1CCC[C@H](n2cc(C(=O)O)c3cc(Br)ccc32)C1
71,CC(C)(C)OC(=O)N1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)C1C(=O)O
72,CC(C)(C)OC(=O)N1CCN(c2ccccc2N)CC1
73,CC(C)(C)OC(=O)N1CC[C@@](Cc2ccc(Br)s2)(C(=O)O)C1
74,CC(C)(C)OC(=O)N1CC[C@H](Oc2cc(I)ccc2C(=O)O)C1
75,CC(C)(C)OC(=O)N1CC[C@](Cc2ccc(Br)cc2)(C(=O)O)C1
76,CC(C)(C)OC(=O)N1C[C@@H](C(=O)O)[C@H](c2cccc(Br)c2)C1
77,CC(C)(C)OC(=O)N1C[C@@H](NC(=O)OCC2c3ccccc3-c3ccccc32)[C@H](C(=O)O)C1
78,CC(C)(C)OC(=O)N1C[C@@H](Oc2cc(Br)ccn2)C[C@@H]1C(=O)O
79,CC(C)(C)OC(=O)N1C[C@@H](n2cnc(Br)c2)C[C@H]1C(=O)O
80,CC(C)(C)OC(=O)N1C[C@@H](n2cncc2Br)C[C@H]1C(=O)O
81,CC(C)(C)OC(=O)N1C[C@H](Oc2ccccc2I)C[C@@H]1C(=O)O
82,CC(C)(C)OC(=O)N1Cc2c(N)n[nH]c2C1(C)C
83,CC(C)(C)OC(=O)N[C@@H]1CCCN(c2ncc(Br)cc2C(=O)O)C1
84,CC(C)(C)OC(=O)n1ncc2cc(N)ccc21
85,CC(C)(C)OCC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
86,CC(C)(C)OCCC(=O)O
87,CC(C)(C)OCc1ccc(B(O)O)cc1
88,CC(C)(C)Oc1ccc(CC(NC(=O)OCC2c3ccccc3-c3ccccc32)C(=O)O)cc1
89,CC(C)(C)[C@@H]1C[C@H]1C(=O)O
90,CC(C)(C)c1cc(B(O)O)cc(C(C)(C)C)c1
91,CC(C)(C)c1cc(C(=O)O)n(Cc2ccccc2)n1
92,CC(C)(C)c1cc(N)n[nH]1
93,CC(C)(C)c1ccc(B(O)O)cc1
94,CC(C)(C)c1ccc(C(=O)O)c(NC(=O)OCC2c3ccccc3-c3ccccc32)c1
95,CC(C)(C)c1ccc(O)c(N)c1
96,CC(C)(C)c1cccc(B(O)O)c1
97,CC(C)(C)c1ccnc2c(C(=O)O)cnn12
98,CC(C)(C)c1nc(C(=O)O)co1
99,CC(C)(C)c1nnc(CN)s1.Cl
100,CC(C)(C)c1nnc2ccc(C(=O)O)cn12
101,CC(C)(C)c1ocnc1CN.Cl
102,CC(C)(C)n1cc(CC(=O)O)cn1
103,CC(C)(C)n1ccc(C(=O)O)n1
104,CC(C)(C)n1nc(C(=O)O)cc1C1CC1
105,CC(C)(C)n1nccc1C(=O)O
106,CC(C)(CN)C(=O)N1CCCC1
107,CC(C)(CN)CCC#N
108,CC(C)(CN)CCS(C)(=O)=O.Cl
109,CC(C)(O)/C=C/B1OC(C)(C)C(C)(C)O1
110,CC(C)(Oc1ccc(F)cc1)C(=O)O
111,CC(C)=CC(=O)O
112,CC(C)C(=O)Nc1cccc(B(O)O)c1
113,CC(C)C(=O)O
114,CC(C)C(=O)c1c[nH]c(C(=O)O)c1
115,CC(C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
116,CC(C)CC(C)(CN)NC(=O)c1cc(Cl)c(Cl)[nH]1.Cl
117,CC(C)CC(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)O
118,CC(C)COc1cc(OC(F)(F)F)cc(B(O)O)c1
119,CC(C)COc1ccc(B(O)O)cc1
120,CC(C)COc1ncc(C(F)(F)F)cc1B(O)O
121,CC(C)COc1ncccc1C(=O)O
122,CC(C)Cn1cnc2c(N)nc3ccccc3c21
123,CC(C)Cn1ncc2cc(C(=O)O)cnc21
124,CC(C)N1CCNC(=O)C1CC(=O)O
125,CC(C)NC(=O)NCCN.Cl.Cl
126,CC(C)Oc1cc(B(O)O)cc(C(F)(F)F)c1
127,CC(C)Oc1ccc(F)cc1B(O)O
128,CC(C)Oc1cccc(B(O)O)c1F
129,CC(C)Oc1ncc(C(F)(F)F)cc1B(O)O
130,CC(C)Oc1ncccc1B(O)O
131,CC(C)S(=O)(=O)c1ccc(B(O)O)cc1
132,CC(C)[C@@H]1C[C@H]1C(=O)O
133,CC(C)c1ccc(O)c(B(O)O)c1
134,CC(C)c1ccc2sc(B3OC(C)(C)C(C)(C)O3)cc2c1
135,CC(C)c1ccnc2cc(C(=O)O)nn12
136,CC(C)c1nc(N)sc1Br
137,CC(C)c1nnc([C@H]2C[C@H](CN)[C@H](O)C2)[nH]1
138,CC(C)n1ccc(B2OC(C)(C)C(C)(C)O2)n1
139,CC(C)n1nccc1[C@@H]1OCC[C@H]1C(=O)O
140,CC(CC(=O)O)c1cccc(F)c1
141,CC(CCN)S(C)=O
142,CC(CN)Cn1cccn1
143,CC(CN)N1CCC1
144,CC(CN)OC(C)(C)C.Cl
145,CC(CN)Oc1ccc(Cl)cc1
146,CC(CN)S(=O)(=O)N1CCN(c2ccccc2)CC1.Cl.Cl
147,CC(CN)S(C)=O
148,CC(CN)S(N)(=O)=O.Cl
149,CC(CN)Sc1ccccc1
150,CC(CN)c1c(Cl)cccc1Cl
151,CC(CN)c1nccs1
152,CC(F)(F)CN.Cl
153,CC(F)(F)c1cccc(B2OC(C)(C)C(C)(C)O2)c1
154,CC(F)C(=O)O
